URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.nl/fhir/zorgviewer/CodeSystem/bronsysteem-zorgaanbieder,0.24.0,active,,bronsysteem-zorgaanbieder,Bronsysteem Zorgaanbieder,"Bronsysteem Zorgaanbieder AGB-Z, OID and displays",
http://hl7.org/fhir/sid/icd-10-nl,0.24.0,active,"2.16.840.1.113883.6.3.2",ICD10dut,ICD10 NL,"Hirs, W., H.W. Becker, C. van Boven, S.K. Oskam, I.M. Okkes, H. Lamberts. ICD-10, Dutch Translation, 200403. Amsterdam: Department of General Practice, Academic Medical Center/University of Amsterdam, Dutch College of General Practitioners (NHG), March 20",
http://hl7.org/fhir/sid/icpc-1-nl,0.24.0,active,"2.16.840.1.113883.2.4.4.31.1",ICPC-1,ICPC-1 NL,"Op basis van NHG-Tabel ICPC versie 10, april 2022 en ICPC-Thesaurus versie 2023 © NHG",
http://snomed.info/sct,0.24.0,active,"2.16.840.1.113883.6.96",SCT,SNOMED CT,"SNOMED CT NL",
